N indicates the RSA integer, Dim indicates the smooth bound of |u-vN|

The first element in the list represents the value of u, the second is the value of v,the third is the value of |u-vn |, and the fourth is the value of u-vn

N = 5893535383, Dim = 70
[7720715625, 1, 1827180242, 1827180242]
[10294287500, 1, 4400752117, 4400752117]
[69206436005, 12, 1515988591, -1515988591]
[29274835968, 5, 192840947, -192840947]
[6794229750, 1, 900694367, 900694367]
[3781250000, 1, 2112285383, -2112285383]
[1423552900, 1, 4469982483, -4469982483]
[4754465100, 1, 1139070283, -1139070283]
[12179481875, 1, 6285946492, 6285946492]
[7263766125, 1, 1370230742, 1370230742]
[11439264375, 2, 347806391, -347806391]
[6779515050, 1, 885979667, 885979667]
[34726138722, 7, 6528608959, -6528608959]
[5633058816, 1, 260476567, -260476567]
[138683817657, 25, 8654566918, -8654566918]
[6147814464, 1, 254279081, 254279081]
[5962880000, 1, 69344617, 69344617]
[5892617808, 1, 917575, -917575]
[7838208000000, 1331, 6087594773, -6087594773]
[7167811365, 1, 1274275982, 1274275982]
[4191513326, 1, 1702022057, -1702022057]
[4223457875, 1, 1670077508, -1670077508]
[5751281250, 1, 142254133, -142254133]
[4572130563, 1, 1321404820, -1321404820]
[23414151033, 1, 17520615650, 17520615650]
[8973037931, 2, 2814032835, -2814032835]
[3496212720, 1, 2397322663, -2397322663]
[5760296724, 1, 133238659, -133238659]
[8600377500, 1, 2706842117, 2706842117]
[2922754107, 1, 2970781276, -2970781276]
[2851101825, 1, 3042433558, -3042433558]
[5161849875, 1, 731685508, -731685508]
[6730209486, 1, 836674103, 836674103]
[11691204525, 2, 95866241, -95866241]
[4320222543, 1, 1573312840, -1573312840]
[5865234375, 1, 28301008, -28301008]
[5819621808, 1, 73913575, -73913575]
[41799981795, 7, 545234114, 545234114]
[5015015005, 2, 6772055761, -6772055761]
[6847351875, 1, 953816492, 953816492]
[7018096800, 1, 1124561417, 1124561417]
[4761955968, 1, 1131579415, -1131579415]
[4081676544, 1, 1811858839, -1811858839]
[91273273091, 15, 2870242346, 2870242346]
[24105138057, 4, 530996525, 530996525]
[44010889923, 5, 14543213008, 14543213008]
[10195453125, 2, 1591617641, -1591617641]
[80296734375, 14, 2212760987, -2212760987]
[5881281120, 1, 12254263, -12254263]
[15467338040, 3, 2213268109, -2213268109]
[6577908480, 1, 684373097, 684373097]
[142752876175, 22, 13095097749, 13095097749]
[35728782804, 7, 5525964877, -5525964877]
[23651038125, 4, 76896593, 76896593]
[894987302517, 169, 101020177210, -101020177210]
[5239122525, 1, 654412858, -654412858]
[53762769424, 11, 11066119789, -11066119789]
[64803338145, 11, 25551068, -25551068]
[29545772256, 5, 78095341, 78095341]
[5256576000, 1, 636959383, -636959383]
[76530203904, 13, 85756075, -85756075]
[41172834560, 7, 81913121, -81913121]
[16469133824, 3, 1211472325, -1211472325]
[40868993880, 7, 385753801, -385753801]
[188950293675, 32, 357161419, 357161419]
[306338830875, 52, 125009041, -125009041]
[62207031250, 11, 2621857963, -2621857963]
[77826065625, 13, 1210105646, 1210105646]
[1619430602517, 275, 1291627808, -1291627808]
[588145528971, 100, 1208009329, -1208009329]
[160831385000, 27, 1705929659, 1705929659]
[115590011823, 20, 2280695837, -2280695837]
[725495097600, 121, 12377316257, 12377316257]
[17679613952, 3, 992197, -992197]
[294624806080059, 50000, 51963069941, -51963069941]
[8072609707305, 1372, 13320838171, -13320838171]
